Ref,Date,Code,RawShares,Shares,Price,Info
1,2006-05-02,P,5000,5000,8.6000,2006-08-09-1-I
2,2006-05-03,P,5000,5000,8.4200,2006-08-09-1-I
3,2006-05-04,P,5000,5000,8.4000,2006-08-09-1-I
4,2006-05-10,P,8600,8600,8.0200,2006-08-09-1-D
5,2006-05-12,P,10000,10000,7.2500,2006-08-09-1-D
6,2006-05-12,P,2000,2000,6.7400,2006-08-09-1-I
7,2006-05-16,P,5000,5000,7.0000,2006-08-09-1-D
8,2006-05-17,P,5000,5000,6.7000,2006-08-09-1-D
9,2006-05-17,P,2000,2000,6.7400,2006-08-09-1-I
10,2006-05-19,P,1000,1000,7.2500,2006-08-09-1-I
11,2006-05-19,P,1000,1000,7.2500,2006-08-09-1-I
12,2006-05-31,P,2000,2000,7.9200,2006-08-09-1-I
13,2006-06-05,P,1000,1000,7.9200,2006-08-09-1-I
14,2006-06-15,P,5000,5000,6.9800,2006-08-09-1-I
15,2006-06-16,P,1000,1000,6.9300,2006-08-09-1-I
16,2006-06-16,P,1000,1000,6.9400,2006-08-09-1-I
17,2006-06-29,P,4000,4000,7.0000,2006-08-09-1-I
18,2006-07-14,P,2000,2000,6.2000,2006-08-09-1-D
19,2006-08-03,P,1400,1400,4.3900,2006-08-09-1-D
20,2006-08-07,P,1100,1100,4.5900,2006-08-09-1-D
21,2006-08-08,P,16000,16000,4.7000,2006-08-21-1-D
22,2006-08-08,S,16000,16000,4.7000,2006-08-21-1-I
23,2006-08-15,P,16000,16000,4.8000,2006-08-21-1-D
24,2006-08-15,S,16000,16000,4.8000,2006-08-21-1-I
25,2006-08-16,P,2100,2100,5.2900,2006-08-21-1-I
26,2006-08-17,P,2900,2900,5.7000,2006-08-21-1-I
27,2006-08-23,P,8000,8000,5.2400,2006-08-25-1-D
28,2006-08-23,S,8000,8000,5.2400,2006-08-29-1-I
29,2006-08-28,P,1000,1000,5.4000,2006-08-29-1-D
30,2006-08-29,P,2000,2000,5.4000,2006-08-30-1-D
31,2006-08-29,S,2000,2000,5.4000,2006-08-30-1-I
32,2006-09-05,P,2700,2700,5.7500,2006-09-06-1-I
33,2006-09-11,P,4000,4000,5.7200,2006-09-15-1-D
34,2006-09-11,S,4000,4000,5.7200,2006-09-15-1-I
35,2006-09-12,P,3000,3000,5.4800,2006-09-15-2-I
36,2006-09-13,P,1700,1700,5.4100,2006-09-15-2-I
37,2006-09-20,P,7500,7500,5.4900,2006-09-21-1-I
38,2006-12-07,S,6000,6000,7.8900,2006-12-11-1-I
39,2006-12-11,S,100,100,8.0000,2006-12-11-1-I
40,2007-01-29,P,2500,2500,12.1000,2007-04-27-1-I
41,2007-01-31,P,2500,2500,13.7000,2007-04-27-1-I
42,2007-02-02,P,4000,4000,15.1500,2007-04-27-1-I
43,2007-02-06,P,5000,5000,14.9500,2007-04-27-1-I
44,2007-02-07,P,400,400,15.0000,2007-04-27-1-I
45,2007-02-08,P,4600,4600,15.0000,2007-04-27-1-I
46,2007-02-12,P,3500,3500,14.9100,2007-04-27-1-I
47,2007-02-13,P,1500,1500,14.6500,2007-04-27-1-D
48,2007-02-14,P,2000,2000,14.4900,2007-04-27-1-D
49,2007-02-15,P,3000,3000,14.3000,2007-04-27-1-I
50,2007-02-21,P,8500,8500,14.6500,2007-04-27-1-D
51,2007-02-21,S,8500,8500,14.6500,2007-04-27-1-I
52,2007-02-22,P,1500,1500,14.8800,2007-04-27-1-I
53,2007-02-23,P,3000,3000,14.9700,2007-04-27-1-I
54,2007-02-23,P,5000,5000,14.9700,2007-04-27-1-I
55,2007-02-27,P,5200,5200,13.8800,2007-04-27-1-I
56,2007-02-28,P,6700,6700,13.0000,2007-04-27-1-D
57,2007-02-28,P,800,800,13.0000,2007-04-27-1-I
58,2007-02-28,P,8400,8400,13.0000,2007-04-27-1-I
59,2007-03-01,P,2500,2500,12.2500,2007-04-27-1-D
60,2007-03-05,P,1800,1800,11.9700,2007-04-27-1-D
61,2007-03-06,P,500,500,12.1300,2007-04-27-1-D
62,2007-03-07,P,3000,3000,12.3700,2007-04-27-1-D
63,2007-03-08,P,2000,2000,12.6000,2007-04-27-1-I
64,2007-03-09,P,7700,7700,12.8100,2007-04-27-1-I
65,2007-03-12,P,4200,4200,12.4600,2007-04-27-1-I
66,2007-03-13,P,800,800,12.2500,2007-04-27-1-I
67,2007-03-19,P,2000,2000,14.5500,2007-04-27-2-I
68,2007-03-19,P,5000,5000,14.5500,2007-04-27-2-I
69,2007-03-19,P,2000,2000,14.3300,2007-04-27-2-I
70,2007-03-20,P,1000,1000,14.4600,2007-04-27-2-I
71,2007-03-20,P,1500,1500,14.4600,2007-04-27-2-I
72,2007-03-21,P,3900,3900,16.9000,2007-04-27-2-I
73,2007-03-23,P,8000,8000,14.9700,2007-04-27-1-D
74,2007-03-27,P,1000,1000,16.9300,2007-04-27-2-I
75,2007-03-28,P,1000,1000,16.5000,2007-04-27-2-D
76,2007-03-29,P,1000,1000,16.2500,2007-04-27-2-D
77,2007-04-04,P,200,200,17.8600,2007-04-27-2-I
78,2007-04-04,P,2000,2000,19.5000,2007-04-27-2-I
79,2007-04-04,P,3000,3000,19.1300,2007-04-27-2-I
80,2007-04-05,P,1000,1000,19.1500,2007-04-27-2-I
81,2007-04-10,P,2000,2000,20.7500,2007-04-27-2-I
82,2007-04-11,P,1000,1000,20.5000,2007-04-27-2-I
83,2007-04-12,P,600,600,21.5000,2007-04-27-2-I
84,2007-04-12,P,1000,1000,21.4500,2007-04-27-2-I
85,2007-04-13,P,2100,2100,21.5000,2007-04-27-2-I
86,2007-04-16,P,500,500,22.6000,2007-04-27-2-I
87,2007-04-17,P,3500,3500,23.5500,2007-04-27-2-D
88,2007-04-17,S,3500,3500,23.5500,2007-04-27-2-I
89,2007-04-23,P,5000,5000,23.4500,2007-04-27-2-I
90,2007-04-24,P,5000,5000,24.3000,2007-04-27-2-I
91,2007-04-25,S,10000,10000,25.7000,2007-04-27-2-I
